Name	Count	set_code
Scavenger Grounds	1	HOU
Shefet Dunes	2	HOU
Survivors' Encampment	5	HOU
Cast Out	1	AKH
Compulsory Rest	1	AKH
Impeccable Timing	2	AKH
Impeccable Timing	4	KLD
Mighty Leap	1	AKH
Ancient Crab	4	AKH
Angler Drake	3	AKH
Essence Scatter	1	AKH
Scarab Feast	1	AKH
Supernatural Stamina	1	AKH
Pursue Glory	1	AKH
Giant Spider	1	AKH
Dissenter's Deliverance	1	AKH
Sixth Sense	1	AKH
Spidery Grasp	1	AKH
Mouth	1	AKH
Sunscorched Desert	1	AKH
Graceful Cat	2	AKH
Meandering River	2	AKH
Submerged Boneyard	2	AKH
Timber Gorge	2	AKH
Tranquil Expanse	2	AKH
Aerial Modification	2	AER
Aeronaut Admiral	2	AER
Aether Inspector	6	AER
Airdrop Aeronauts	2	AER
Alley Evasion	5	AER
Audacious Infiltrator	5	AER
Bastion Enforcer	6	AER
Call for Unity	1	AER
Caught in the Brights	6	AER
Consulate Crackdown	3	AER
Countless Gears Renegade	5	AER
Dawnfeather Eagle	8	AER
Deadeye Harpooner	2	AER
Decommission	5	AER
Deft Dismissal	1	AER
Felidar Guardian	2	AER
Ghirapur Osprey	5	AER
Restoration Specialist	1	AER
Solemn Recruit	1	AER
Sram, Senior Edificer	1	AER
Sram's Expertise	1	AER
Thopter Arrest	2	AER
Aether Swooper	4	AER
Baral, Chief of Compliance	1	AER
Baral's Expertise	1	AER
Bastion Inventor	6	AER
Dispersal Technician	5	AER
Efficient Construction	2	AER
Hinterland Drake	7	AER
Ice Over	5	AER
Illusionist's Stratagem	2	AER
Leave in the Dust	5	AER
Metallic Rebuke	5	AER
Quicksmith Spy	1	AER
Reverse Engineer	2	AER
Salvage Scuttler	2	AER
Shielded Aether Thief	2	AER
Shipwreck Moray	6	AER
Skyship Plunderer	2	AER
Take into Custody	4	AER
Trophy Mage	2	AER
Whir of Invention	1	AER
Wind-Kin Raiders	2	AER
Aether Poisoner	6	AER
Alley Strangler	4	AER
Battle at the Bridge	1	AER
Daring Demolition	5	AER
Defiant Salvager	5	AER
Fatal Push	2	AER
Fen Hauler	4	AER
Foundry Hornet	2	AER
Fourth Bridge Prowler	5	AER
Gifted Aetherborn	2	AER
Glint-Sleeve Siphoner	1	AER
Gonti's Machinations	1	AER
Ironclad Revolutionary	2	AER
Midnight Entourage	1	AER
Night Market Aeronaut	6	AER
Perilous Predicament	2	AER
Renegade's Getaway	4	AER
Resourceful Return	7	AER
Secret Salvage	1	AER
Sly Requisitioner	2	AER
Yahenni, Undying Partisan	1	AER
Aether Chaser	4	AER
Chandra's Revolution	6	AER
Destructive Tampering	5	AER
Embraal Gear-Smasher	7	AER
Enraged Giant	2	AER
Frontline Rebel	5	AER
Gremlin Infestation	2	AER
Hungry Flames	2	AER
Indomitable Creativity	1	AER
Invigorated Rampage	1	AER
Lathnu Sailback	5	AER
Precise Strike	7	AER
Quicksmith Rebel	1	AER
Ravenous Intruder	2	AER
Reckless Racer	2	AER
Scrapper Champion	2	AER
Shock	6	AER
Siege Modification	2	AER
Sweatworks Brawler	4	AER
Wrangle	5	AER
Aether Herder	6	AER
Aetherstream Leopard	5	AER
Aetherwind Basker	1	AER
Druid of the Cowl	10	AER
Greenbelt Rampager	1	AER
Greenwheel Liberator	1	AER
Heroic Intervention	1	AER
Hidden Herbalists	2	AER
